LootTableID;AND/OR;LuckSafe;Conditions;UseLevelGS;HWMMult;GSBonus;MaxRoll;Item1;GearScoreRange1;PerkBucketOverrides1;Item2;GearScoreRange2;PerkBucketOverrides2;Item3;GearScoreRange3;PerkOverrides3;Item4;GearScoreRange4;PerkOverrides4;Item5;GearScoreRange5;PerkOverrides5;Item6;GearScoreRange6;PerkOverrides6;Item7;GearScoreRange7;PerkOverrides7;Item8;GearScoreRange8;PerkOverrides8;Item9;GearScoreRange9;PerkOverrides9;Item10;GearScoreRange10;PerkOverrides10;Item11;GearScoreRange11;PerkOverrides11;Item12;GearScoreRange12;PerkOverrides12;Item13;GearScoreRange13;PerkOverrides13;Item14;GearScoreRange14;PerkOverrides14;Item15;GearScoreRange15;PerkOverrides15;Item16;GearScoreRange16;PerkOverrides16;Item17;GearScoreRange17;PerkOverrides17;Item18;GearScoreRange18;PerkOverrides18;Item19;GearScoreRange19;PerkOverrides19;Item20;GearScoreRange20;PerkOverrides20;Item21;GearScoreRange21;PerkOverrides21;Item22;GearScoreRange22;PerkOverrides22;Item23;GearScoreRange23;PerkOverrides23;Item24;GearScoreRange24;PerkOverrides24;Item25;GearScoreRange25;PerkOverrides25;Item26;GearScoreRange26;PerkOverrides26;Item27;GearScoreRange27;PerkOverrides27;Item28;GearScoreRange28;PerkOverrides28;Item29;GearScoreRange29;PerkOverrides29;Item30;GearScoreRange30;PerkOverrides30;Item31;GearScoreRange31;PerkOverrides31;Item32;GearScoreRange32;PerkOverrides32;Item33;GearScoreRange33;PerkOverrides33
AzothWaterSpring;AND;;;;0;0;0;AzothWaterT1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AzothWaterSpring_Qty;;;;;0;0;0;3-7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AzothWaterSpring_Probs;;;;;0;0;10000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeTiny;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeTiny_Qty;;;;;0;0;0;4-9;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeTiny_Probs;;;;;0;0;100000;0;;;95000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeSmall;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeSmall_Qty;;;;;0;0;0;10-14;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeSmall_Probs;;;;;0;0;100000;0;;;94000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeMedium;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeMedium_Qty;;;;;0;0;0;15-25;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeMedium_Probs;;;;;0;0;100000;0;;;93000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeLarge;AND;;;;0;0;0;WoodT2;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeLarge_Qty;;;;;0;0;0;12-18;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeLarge_Probs;;;;;0;0;100000;0;;;92000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeHuge;AND;;;;0;0;0;WoodT2;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeHuge_Qty;;;;;0;0;0;19-25;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TreeHuge_Probs;;;;;0;0;100000;0;;;91000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeSmall;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeSmall_Qty;;;;;0;0;0;6-10;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeSmall_Probs;;;;;0;0;100000;0;;;94000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeMedium;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeMedium_Qty;;;;;0;0;0;15-25;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeMedium_Probs;;;;;0;0;100000;0;;;93000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeLarge;AND;;;;0;0;0;WoodT2;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeLarge_Qty;;;;;0;0;0;12-18;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FallTreeLarge_Probs;;;;;0;0;100000;0;;;92000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeSmall;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeSmall_Qty;;;;;0;0;0;6-10;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeSmall_Probs;;;;;0;0;100000;0;;;94000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeMedium;AND;;;;0;0;0;WoodT1;;;FOCDEXBonusT1;;;[LTID]LoggingResources;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeMedium_Qty;;;;;0;0;0;15-25;;;0-1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WinterTreeMedium_Probs;;;;;0;0;100000;0;;;93000;;;101000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
